# timestamps [seconds],pts
448979.498554,1432158
448979.532072,1434354
448979.565589,1436551
448979.599107,1438748
448979.632624,1440944
448979.666141,1443141
448979.699659,1445337
448979.733176,1447534
448979.766694,1449730
448979.800211,1451927
448979.833728,1454124
448979.867246,1456320
448979.900763,1458517
448979.934281,1460713
448979.967798,1462910
448980.001315,1465106
448980.034833,1467303
448980.068350,1469499
448980.101867,1471696
448980.135385,1473893
448980.168902,1476089
448980.202420,1478286
448980.235937,1480482
448980.269454,1482679
448980.302972,1484875
448980.336489,1487072
448980.370007,1489269
448980.403524,1491465
448980.437041,1493662
448980.470559,1495858
448980.504076,1498055
448980.537593,1500251
448980.571111,1502448
448980.604628,1504644
448980.638146,1506841
448980.671663,1509038
448980.705180,1511234
448980.738698,1513431
448980.772215,1515627
448980.805733,1517824
448980.839250,1520020
448980.872767,1522217
448980.906285,1524414
448980.939802,1526610
448980.973320,1528807
448981.006837,1531003
448981.040354,1533200
448981.073872,1535396
448981.107389,1537593
448981.140906,1539789
448981.174424,1541986
448981.207941,1544183
448981.241459,1546379
448981.274976,1548576
448981.308493,1550772
448981.342011,1552969
448981.375528,1555165
448981.409046,1557362
448981.442563,1559559
448981.476080,1561755
448981.509598,1563952
448981.543115,1566148
448981.576632,1568345
448981.610150,1570541
448981.643667,1572738
448981.677185,1574934
448981.710702,1577131
448981.744219,1579328
448981.777737,1581524
448981.811254,1583721
448981.844772,1585917
448981.878289,1588114
448981.911806,1590310
448981.945324,1592507
448981.978841,1594703
448982.012359,1596900
448982.045876,1599097
448982.079393,1601293
448982.112911,1603490
448982.146428,1605686
448982.179945,1607883
448982.213463,1610079
448982.246980,1612276
448982.280498,1614473
448982.314015,1616669
448982.347532,1618866
448982.381050,1621062
448982.414567,1623259
448982.448085,1625455
448982.481602,1627652
448982.515119,1629848
448982.548637,1632045
448982.582154,1634242
448982.615671,1636438
448982.649189,1638635
448982.682706,1640831
448982.716224,1643028
448982.749741,1645224
448982.783258,1647421
448982.816776,1649618
448982.850293,1651814
448982.883811,1654011
448982.917328,1656207
448982.950845,1658404
448982.984363,1660600
448983.017880,1662797
448983.051398,1664994
448983.084915,1667190
448983.118432,1669387
448983.151950,1671583
448983.185467,1673780
448983.218984,1675976
448983.252502,1678173
448983.286019,1680369
448983.319537,1682566
448983.353054,1684763
448983.386571,1686959
448983.420089,1689156
448983.453606,1691352
448983.487124,1693549
448983.520641,1695745
448983.554158,1697942
448983.587676,1700138
448983.621193,1702335
448983.654710,1704532
448983.688228,1706728
448983.721745,1708925
448983.755263,1711121
448983.788780,1713318
448983.822297,1715514
448983.855815,1717711
448983.889332,1719908
448983.922850,1722104
448983.956367,1724301
448983.989884,1726497
448984.023402,1728694
448984.056919,1730890
448984.090437,1733087
448984.123954,1735283
448984.157471,1737480
448984.190989,1739677
448984.224506,1741873
448984.258023,1744070
448984.291541,1746266
448984.325058,1748463
448984.358576,1750659
448984.392093,1752856
448984.425610,1755052
448984.459128,1757249
448984.492645,1759446
448984.526163,1761642
448984.559680,1763839
448984.593197,1766035
448984.626715,1768232
448984.660232,1770428
