# timestamps [seconds],pts
448962.733148,333413
448962.741218,333942
448962.749287,334471
448962.757356,334999
448962.765425,335528
448962.773494,336057
448962.781563,336586
448962.789633,337115
448962.797702,337644
448962.805771,338172
448962.813840,338701
448962.821909,339230
448962.829978,339759
448962.838047,340288
448962.846117,340816
448962.854186,341345
448962.862255,341874
448962.870324,342403
448962.878393,342932
448962.886462,343460
448962.894531,343989
448962.902601,344518
448962.910670,345047
448962.918739,345576
448962.926808,346105
448962.934877,346633
448962.942946,347162
448962.951016,347691
448962.959085,348220
448962.967154,348749
448962.975223,349277
448962.983292,349806
448962.991361,350335
448962.999430,350864
448963.007500,351393
448963.015569,351921
448963.023638,352450
448963.031707,352979
448963.039776,353508
448963.047845,354037
448963.055914,354565
448963.063984,355094
448963.072053,355623
448963.080122,356152
448963.088191,356681
448963.096260,357210
448963.104329,357738
448963.112398,358267
448963.120468,358796
448963.128537,359325
448963.136606,359854
448963.152744,360911
448963.160813,361440
448963.168883,361969
448963.176952,362498
448963.185021,363026
448963.193090,363555
448963.201159,364084
448963.209228,364613
448963.217297,365142
448963.225367,365671
448963.233436,366199
448963.241505,366728
448963.249574,367257
448963.257643,367786
448963.265712,368315
448963.273781,368843
448963.281851,369372
448963.289920,369901
448963.297989,370430
448963.306058,370959
448963.322196,372016
448963.330265,372545
448963.338335,373074
448963.346404,373603
448963.354473,374132
448963.362542,374660
448963.370611,375189
448963.378680,375718
448963.394819,376776
448963.402888,377304
448963.410957,377833
448963.419026,378362
448963.435164,379420
448963.443234,379948
448963.451303,380477
448963.459372,381006
448963.467441,381535
448963.475510,382064
448963.483579,382592
448963.491648,383121
448963.499718,383650
448963.507787,384179
448963.523925,385237
448963.531994,385765
448963.540063,386294
448963.548132,386823
448963.556202,387352
448963.564271,387881
448963.572340,388409
448963.580409,388938
448963.588478,389467
448963.604617,390525
448963.612686,391054
448963.620755,391582
448963.628824,392111
448963.636893,392640
448963.644962,393169
448963.661101,394226
448963.669170,394755
448963.677239,395284
448963.685308,395813
448963.701446,396870
448963.709515,397399
448963.717585,397928
448963.725654,398457
448963.733723,398986
448963.741792,399514
448963.749861,400043
448963.757930,400572
448963.766000,401101
448963.774069,401630
448963.782138,402159
448963.790207,402687
448963.798276,403216
448963.806345,403745
448963.814414,404274
448963.822484,404803
448963.830553,405331
448963.838622,405860
448963.854760,406918
448963.862829,407447
448963.870898,407975
448963.878968,408504
448963.887037,409033
448963.895106,409562
448963.903175,410091
448963.911244,410620
448963.919313,411148
448963.927382,411677
448963.935452,412206
448963.943521,412735
448963.951590,413264
448963.959659,413792
448963.967728,414321
448963.975797,414850
448963.983866,415379
448963.991936,415908
448964.000005,416436
448964.008074,416965
448964.016143,417494
448964.024212,418023
448964.032281,418552
448964.040351,419081
448964.048420,419609
448964.056489,420138
448964.064558,420667
448964.072627,421196
448964.080696,421725
448964.088765,422253
448964.096835,422782
448964.104904,423311
448964.112973,423840
448964.121042,424369
448964.129111,424897
448964.137180,425426
448964.145249,425955
448964.153319,426484
448964.161388,427013
448964.169457,427542
448964.177526,428070
448964.185595,428599
448964.193664,429128
448964.201733,429657
448964.209803,430186
448964.217872,430714
448964.225941,431243
448964.234010,431772
448964.242079,432301
448964.250148,432830
448964.258218,433358
448964.274356,434416
448964.282425,434945
448964.290494,435474
448964.298563,436002
448964.306632,436531
448964.314702,437060
448964.322771,437589
448964.330840,438118
448964.338909,438647
448964.346978,439175
448964.355047,439704
448964.363116,440233
448964.371186,440762
448964.379255,441291
448964.387324,441819
448964.395393,442348
448964.403462,442877
448964.411531,443406
448964.419601,443935
448964.427670,444463
448964.435739,444992
448964.443808,445521
448964.451877,446050
448964.459946,446579
448964.468015,447108
448964.476085,447636
448964.484154,448165
448964.492223,448694
448964.500292,449223
448964.508361,449752
448964.516430,450280
448964.524499,450809
448964.532569,451338
448964.540638,451867
448964.548707,452396
448964.556776,452924
448964.564845,453453
448964.572914,453982
448964.580983,454511
448964.589053,455040
448964.597122,455569
448964.605191,456097
448964.613260,456626
448964.621329,457155
448964.629398,457684
448964.637467,458213
448964.645537,458741
448964.653606,459270
448964.661675,459799
448964.669744,460328
448964.677813,460857
448964.685882,461385
448964.693951,461914
448964.702021,462443
448964.710090,462972
448964.718159,463501
448964.726228,464029
448964.734297,464558
448964.742366,465087
448964.750436,465616
448964.766574,466674
448964.774643,467202
448964.782712,467731
448964.790781,468260
448964.798850,468789
448964.806920,469318
448964.814989,469846
448964.823058,470375
448964.831127,470904
448964.839196,471433
448964.847265,471962
448964.855334,472490
448964.863404,473019
448964.871473,473548
448964.879542,474077
448964.887611,474606
448964.895680,475135
448964.903749,475663
448964.911818,476192
448964.919888,476721
448964.927957,477250
448964.936026,477779
448964.944095,478307
448964.952164,478836
448964.960233,479365
448964.968303,479894
448964.976372,480423
448964.984441,480951
448964.992510,481480
448965.000579,482009
448965.008648,482538
448965.016717,483067
448965.024787,483596
448965.032856,484124
448965.040925,484653
448965.048994,485182
448965.057063,485711
448965.065132,486240
448965.073201,486768
448965.081271,487297
448965.089340,487826
448965.097409,488355
