# timestamps [seconds],pts
448960.640363,196255
448960.648432,196784
448960.656502,197313
448960.664571,197842
448960.672640,198371
448960.680709,198899
448960.688778,199428
448960.696847,199957
448960.704917,200486
448960.712986,201015
448960.721055,201543
448960.729124,202072
448960.737193,202601
448960.745262,203130
448960.753331,203659
448960.761401,204188
448960.769470,204716
448960.777539,205245
448960.785608,205774
448960.793677,206303
448960.801746,206832
448960.809816,207360
448960.817885,207889
448960.825954,208418
448960.834023,208947
448960.842092,209476
448960.850161,210004
448960.858231,210533
448960.866300,211062
448960.874369,211591
448960.882438,212120
448960.890507,212649
448960.898576,213177
448960.906646,213706
448960.914715,214235
448960.922784,214764
448960.930853,215293
448960.938922,215821
448960.946991,216350
448960.955061,216879
448960.963130,217408
448960.971199,217937
448960.979268,218465
448960.987337,218994
448960.995406,219523
448961.003476,220052
448961.011545,220581
448961.019614,221110
448961.027683,221638
448961.035752,222167
448961.043821,222696
448961.051891,223225
448961.059960,223754
448961.068029,224282
448961.076098,224811
448961.084167,225340
448961.092236,225869
448961.100306,226398
448961.108375,226926
448961.124513,227984
448961.132582,228513
448961.140651,229042
448961.148720,229571
448961.156790,230099
448961.164859,230628
448961.172928,231157
448961.180997,231686
448961.189066,232215
448961.197136,232743
448961.205205,233272
448961.213274,233801
448961.221343,234330
448961.229412,234859
448961.237481,235387
448961.245550,235916
448961.253620,236445
448961.261689,236974
448961.269758,237503
448961.277827,238032
448961.285896,238560
448961.293965,239089
448961.302035,239618
448961.310104,240147
448961.318173,240676
448961.326242,241204
448961.334311,241733
448961.342380,242262
448961.350450,242791
448961.358519,243320
448961.366588,243848
448961.374657,244377
448961.382726,244906
448961.390795,245435
448961.398865,245964
448961.406934,246493
448961.415003,247021
448961.423072,247550
448961.431141,248079
448961.439210,248608
448961.447280,249137
448961.455349,249665
448961.463418,250194
448961.471487,250723
448961.479556,251252
448961.487625,251781
448961.495695,252310
448961.503764,252838
448961.511833,253367
448961.519902,253896
448961.527971,254425
448961.536040,254954
448961.544110,255482
448961.552179,256011
448961.560248,256540
448961.568317,257069
448961.576386,257598
448961.584455,258126
448961.592524,258655
448961.600594,259184
448961.608663,259713
448961.616732,260242
448961.624801,260770
448961.640939,261828
448961.649009,262357
448961.657078,262886
448961.665147,263415
448961.673216,263943
448961.681285,264472
448961.689354,265001
448961.697424,265530
448961.705493,266059
448961.713562,266587
448961.721631,267116
448961.729700,267645
448961.737769,268174
448961.753908,269231
448961.761977,269760
448961.770046,270289
448961.778115,270818
448961.786184,271347
448961.794254,271876
448961.802323,272404
448961.810392,272933
448961.818461,273462
448961.826530,273991
448961.834599,274520
448961.842668,275048
448961.850738,275577
448961.858807,276106
448961.866876,276635
448961.874945,277164
448961.883014,277692
448961.891084,278221
448961.899153,278750
448961.907222,279279
448961.915291,279808
448961.923360,280337
448961.931429,280865
448961.939498,281394
448961.947568,281923
448961.955637,282452
448961.963706,282981
448961.971775,283509
448961.979844,284038
448961.987913,284567
448961.995983,285096
448962.004052,285625
448962.012121,286153
448962.020190,286682
448962.028259,287211
448962.036328,287740
448962.044398,288269
448962.052467,288798
448962.060536,289326
448962.068605,289855
448962.076674,290384
448962.092813,291442
448962.100882,291970
448962.108951,292499
448962.117020,293028
448962.125089,293557
448962.133158,294086
448962.141228,294615
448962.149297,295143
448962.157366,295672
448962.165435,296201
448962.173504,296730
448962.181573,297259
448962.189643,297787
448962.197712,298316
448962.205781,298845
448962.213850,299374
448962.221919,299903
448962.229988,300431
448962.238058,300960
448962.246127,301489
